================================================================================
PHASE 1 — SAMPLE SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
sample limit:     250000
cycle basis size: 16

... samples=197500 cycle_sigs=16203 lift_hashes=1
... samples=198000 cycle_sigs=16203 lift_hashes=1
... samples=198500 cycle_sigs=16203 lift_hashes=1
... samples=199000 cycle_sigs=16203 lift_hashes=1
... samples=199500 cycle_sigs=16204 lift_hashes=1
... samples=200000 cycle_sigs=16204 lift_hashes=1
... samples=200500 cycle_sigs=16204 lift_hashes=1
... samples=201000 cycle_sigs=16204 lift_hashes=1
... samples=201500 cycle_sigs=16204 lift_hashes=1
... samples=202000 cycle_sigs=16204 lift_hashes=1
... samples=202500 cycle_sigs=16204 lift_hashes=1
... samples=203000 cycle_sigs=16204 lift_hashes=1
... samples=203500 cycle_sigs=16204 lift_hashes=1
... samples=204000 cycle_sigs=16204 lift_hashes=1
... samples=204500 cycle_sigs=16204 lift_hashes=1
... samples=205000 cycle_sigs=16204 lift_hashes=1
... samples=205500 cycle_sigs=16204 lift_hashes=1
... samples=206000 cycle_sigs=16204 lift_hashes=1
... samples=206500 cycle_sigs=16204 lift_hashes=1
... samples=207000 cycle_sigs=16204 lift_hashes=1
... samples=207500 cycle_sigs=16204 lift_hashes=1
... samples=208000 cycle_sigs=16204 lift_hashes=1
... samples=208500 cycle_sigs=16204 lift_hashes=1
... samples=209000 cycle_sigs=16204 lift_hashes=1
... samples=209500 cycle_sigs=16204 lift_hashes=1
... samples=210000 cycle_sigs=16204 lift_hashes=1
... samples=210500 cycle_sigs=16204 lift_hashes=1
... samples=211000 cycle_sigs=16204 lift_hashes=1
... samples=211500 cycle_sigs=16204 lift_hashes=1
... samples=212000 cycle_sigs=16204 lift_hashes=1
... samples=212500 cycle_sigs=16204 lift_hashes=1
... samples=213000 cycle_sigs=16204 lift_hashes=1
... samples=213500 cycle_sigs=16204 lift_hashes=1
... samples=214000 cycle_sigs=16204 lift_hashes=1
... samples=214500 cycle_sigs=16204 lift_hashes=1
... samples=215000 cycle_sigs=16204 lift_hashes=1
... samples=215500 cycle_sigs=16204 lift_hashes=1
... samples=216000 cycle_sigs=16204 lift_hashes=1
... samples=216500 cycle_sigs=16204 lift_hashes=1
... samples=217000 cycle_sigs=16204 lift_hashes=1
... samples=217500 cycle_sigs=16204 lift_hashes=1
... samples=218000 cycle_sigs=16204 lift_hashes=1
... samples=218500 cycle_sigs=16204 lift_hashes=1
... samples=219000 cycle_sigs=16204 lift_hashes=1
... samples=219500 cycle_sigs=16204 lift_hashes=1
... samples=220000 cycle_sigs=16204 lift_hashes=1
... samples=220500 cycle_sigs=16204 lift_hashes=1
... samples=221000 cycle_sigs=16204 lift_hashes=1
... samples=221500 cycle_sigs=16204 lift_hashes=1
... samples=222000 cycle_sigs=16204 lift_hashes=1
... samples=222500 cycle_sigs=16204 lift_hashes=1
... samples=223000 cycle_sigs=16204 lift_hashes=1
... samples=223500 cycle_sigs=16204 lift_hashes=1
... samples=224000 cycle_sigs=16204 lift_hashes=1
... samples=224500 cycle_sigs=16204 lift_hashes=1
... samples=225000 cycle_sigs=16204 lift_hashes=1
... samples=225500 cycle_sigs=16204 lift_hashes=1
... samples=226000 cycle_sigs=16204 lift_hashes=1
... samples=226500 cycle_sigs=16204 lift_hashes=1
... samples=227000 cycle_sigs=16204 lift_hashes=1
... samples=227500 cycle_sigs=16204 lift_hashes=1
... samples=228000 cycle_sigs=16204 lift_hashes=1
... samples=228500 cycle_sigs=16204 lift_hashes=1
... samples=229000 cycle_sigs=16204 lift_hashes=1
... samples=229500 cycle_sigs=16204 lift_hashes=1
... samples=230000 cycle_sigs=16204 lift_hashes=1
... samples=230500 cycle_sigs=16204 lift_hashes=1
... samples=231000 cycle_sigs=16204 lift_hashes=1
... samples=231500 cycle_sigs=16204 lift_hashes=1
... samples=232000 cycle_sigs=16204 lift_hashes=1
... samples=232500 cycle_sigs=16204 lift_hashes=1
... samples=233000 cycle_sigs=16204 lift_hashes=1
... samples=233500 cycle_sigs=16204 lift_hashes=1
... samples=234000 cycle_sigs=16204 lift_hashes=1
... samples=234500 cycle_sigs=16204 lift_hashes=1
... samples=235000 cycle_sigs=16204 lift_hashes=1
... samples=235500 cycle_sigs=16204 lift_hashes=1
... samples=236000 cycle_sigs=16204 lift_hashes=1
... samples=236500 cycle_sigs=16204 lift_hashes=1
... samples=237000 cycle_sigs=16204 lift_hashes=1
... samples=237500 cycle_sigs=16204 lift_hashes=1
... samples=238000 cycle_sigs=16204 lift_hashes=1
... samples=238500 cycle_sigs=16204 lift_hashes=1
... samples=239000 cycle_sigs=16204 lift_hashes=1
... samples=239500 cycle_sigs=16204 lift_hashes=1
... samples=240000 cycle_sigs=16204 lift_hashes=1
... samples=240500 cycle_sigs=16204 lift_hashes=1
... samples=241000 cycle_sigs=16204 lift_hashes=1
... samples=241500 cycle_sigs=16204 lift_hashes=1
... samples=242000 cycle_sigs=16204 lift_hashes=1
... samples=242500 cycle_sigs=16204 lift_hashes=1
... samples=243000 cycle_sigs=16204 lift_hashes=1
... samples=243500 cycle_sigs=16204 lift_hashes=1
... samples=244000 cycle_sigs=16204 lift_hashes=1
... samples=244500 cycle_sigs=16204 lift_hashes=1
... samples=245000 cycle_sigs=16204 lift_hashes=1
... samples=245500 cycle_sigs=16204 lift_hashes=1
... samples=246000 cycle_sigs=16218 lift_hashes=1
... samples=246500 cycle_sigs=16224 lift_hashes=1
... samples=247000 cycle_sigs=16230 lift_hashes=1
... samples=247500 cycle_sigs=16232 lift_hashes=1
... samples=248000 cycle_sigs=16243 lift_hashes=1
... samples=248500 cycle_sigs=16257 lift_hashes=1
... samples=249000 cycle_sigs=16262 lift_hashes=1
... samples=249500 cycle_sigs=16262 lift_hashes=1
... samples=250000 cycle_sigs=16262 lift_hashes=1

saved /Users/scottcave/dev/cori/hyperxi_lab/reports/rigidity/phase1_sample_lifts.txt
